CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,-,-,595,"6,132.55","6,438.40",595,"50,300.00",140,2.10,7.70,350,-0.50,2.75,34.53,49,-15,35,
,10,-,-,-,-,-,595,"5,988.95","6,338.05",595,"50,400.00",70,2.25,3.20,875,-0.20,3.20,34.55,"1,227",-528,"1,737",
,166,-22,28,-,"6,060.00",-440.00,35,"6,025.50","6,136.65",35,"50,500.00",70,2.45,4.65,175,1.35,4.25,34.71,"1,454",-225,"1,178",
,2,-,-,-,-,-,595,"5,802.35","6,119.45",595,"50,600.00",105,2.15,5.85,350,0.35,4.35,34.64,68,-17,60,
,10,-,-,-,-,-,595,"5,732.75","6,038.30",595,"50,700.00",140,2.30,7.75,350,-0.30,3.45,33.23,253,-19,88,
,9,-,-,-,-,-,595,"5,609.10","5,938.35",595,"50,800.00",490,2.15,6.05,350,-0.15,3.30,32.54,150,-51,514,
,9,-,-,-,-,-,595,"5,490.85","5,819.35",595,"50,900.00",525,2.55,8.00,350,0.45,3.60,32.31,19,-,126,
,"1,588",-308,335,39.94,"5,624.60",-319.60,35,"5,500.00","5,562.20",70,"51,000.00","19,355",3.70,4.05,175,1.00,3.70,31.87,"6,578",-227,"6,694",
,6,-,-,-,-,-,595,"5,284.20","5,638.20",595,"51,100.00",70,2.55,3.85,105,0.45,3.85,31.48,64,-5,162,
,4,-,-,-,-,-,595,"5,228.20","5,530.75",595,"51,200.00",210,2.85,5.40,350,-,3.90,30.98,186,42,261,
,4,-,-,-,-,-,595,"5,089.50","5,432.75",595,"51,300.00",350,2.55,4.85,350,1.65,4.90,31.26,69,-,182,
,2,-,-,-,-,-,595,"4,904.80","5,334.50",595,"51,400.00",350,2.45,5.90,350,2.05,5.10,30.85,101,7,201,
,103,-46,51,-,"5,070.00",-590.60,35,"4,976.25","5,071.65",70,"51,500.00",140,4.00,4.10,140,0.65,4.00,29.50,"6,842",-201,"2,747",
,3,-,-,-,-,-,595,"4,813.00","5,108.65",595,"51,600.00",350,2.60,6.60,350,0.90,4.45,29.28,"1,358",-46,493,
,4,-,-,-,-,-,595,"4,726.90","4,988.80",595,"51,700.00",140,3.15,6.80,350,0.55,3.65,28.08,272,41,204,
,6,-1,2,59.89,"5,059.05",159.05,595,"4,614.40","4,937.80",595,"51,800.00",525,3.35,6.60,350,0.75,3.95,27.80,615,11,291,
,7,-,1,54.60,"4,900.00",-270.00,595,"4,520.10","4,837.80",595,"51,900.00",350,2.85,6.40,350,1.60,5.30,28.23,231,42,198,
,"2,720",-259,446,-,"4,559.15",-581.30,35,"4,550.00","4,566.95",70,"52,000.00",175,4.15,4.70,210,1.30,4.40,27.06,"20,460","-1,506","10,037",
,7,-2,7,29.27,"4,515.00",-165.00,595,"4,329.95","4,590.40",350,"52,100.00",980,4.00,6.60,350,1.15,4.55,26.63,538,-44,181,
,1,-,-,-,-,-,595,"4,140.95","4,512.10",595,"52,200.00",70,3.30,7.00,350,0.65,4.35,25.94,957,-127,365,
,3,-,-,-,-,-,595,"4,110.40","4,411.15",595,"52,300.00",70,3.40,6.95,35,1.20,4.70,25.64,606,5,169,
,4,-2,3,-,"4,150.00",-219.95,595,"4,019.50","4,290.45",350,"52,400.00",140,3.80,8.00,700,0.45,3.95,24.57,647,55,233,
,260,-15,22,30.97,"4,130.00",-360.00,35,"4,000.65","4,063.00",35,"52,500.00",35,4.65,6.00,35,1.75,5.10,24.79,"10,508",-57,"6,778",
,1,-,-,-,-,-,595,"3,822.35","4,087.95",595,"52,600.00",175,4.75,8.20,700,1.00,4.70,24.63,"1,015",77,211,
,5,-,1,40.44,"4,014.40",-26.20,595,"3,720.55","3,990.25",350,"52,700.00",700,3.85,8.10,350,2.90,6.60,23.88,"1,106",108,461,
,1,-,-,-,-,-,35,"3,670.00","3,920.40",595,"52,800.00",175,4.95,7.00,105,1.05,4.80,23.74,"2,559",-36,725,
,2,-,-,-,-,-,595,"3,525.35","3,819.65",595,"52,900.00",350,4.75,7.60,175,3.25,7.10,22.66,"1,241",10,484,
,"2,137",-147,165,-,"3,550.00",-567.25,70,"3,531.65","3,563.15",35,"53,000.00",140,6.40,6.70,70,2.45,6.40,22.87,"56,902","3,276","30,063",
,25,-,1,36.31,"3,605.55",-474.45,595,"3,312.90","3,589.50",350,"53,100.00",175,6.15,10.00,315,3.55,7.80,22.23,"2,359",199,638,
,6,-,-,-,-,-,595,"3,217.90","3,508.40",595,"53,200.00",175,6.15,10.00,595,1.55,6.00,21.77,"4,448","1,430","2,819",
,3,-,-,-,-,-,595,"3,117.05","3,413.35",595,"53,300.00",350,6.55,11.30,350,4.05,8.60,21.84,"2,742",104,626,
,5,-,-,-,-,-,595,"3,003.85","3,302.25",595,"53,400.00",350,7.05,9.00,35,4.20,8.95,21.39,"1,615",-69,446,
,"1,307",-27,80,20.20,"3,115.00",-322.10,70,"3,002.10","3,140.50",140,"53,500.00",70,8.70,9.90,595,4.40,9.15,20.75,"43,246",98,"16,203",
,11,-,-,-,-,-,595,"2,728.55","3,093.00",595,"53,600.00",175,9.30,11.95,350,5.05,10.30,20.40,"3,651",-72,"1,112",
,20,-,7,25.53,"2,948.55",-351.45,420,"2,738.40","2,992.75",420,"53,700.00",350,9.30,12.50,350,5.20,10.80,19.79,"2,751",43,976,
,8,-,4,35.92,"2,980.00",-115.70,420,"2,640.50","2,893.55",280,"53,800.00",350,10.10,13.00,35,5.45,11.40,19.74,"4,407",438,"1,551",
,12,-,-,-,-,-,595,"2,507.15","2,791.00",595,"53,900.00",210,11.40,14.45,700,4.95,11.40,19.12,"4,850",163,907,
,"2,217",-253,504,-,"2,571.35",-538.75,35,"2,552.45","2,571.25",70,"54,000.00","35,000",13.25,13.50,70,6.30,13.25,18.91,"94,939","2,249","27,104",
,7,-,1,16.37,"2,515.00",-159.70,70,"2,384.45","2,545.60",35,"54,100.00",350,13.50,16.20,350,6.50,13.75,18.55,"5,783",68,"1,144",
,6,-,-,-,-,-,420,"2,246.75","2,444.60",70,"54,200.00",350,15.10,17.60,350,7.10,15.05,18.10,"7,102",165,"1,143",
,6,-,-,-,-,-,420,"2,148.00","2,346.40",70,"54,300.00",595,16.80,17.80,35,8.30,16.80,17.74,"10,049",78,"1,285",
,13,-,1,31.49,"2,400.00",-188.90,70,"2,092.05","2,249.20",70,"54,400.00",700,18.35,20.35,350,8.85,18.05,17.37,"11,588",789,"2,638",
,443,-22,156,-,"2,049.80",-565.90,210,"2,031.90","2,101.85",35,"54,500.00",175,19.90,20.50,35,9.55,19.65,16.99,"83,552",-301,"10,112",
,39,-,-,-,-,-,35,"1,894.25","2,060.40",35,"54,600.00",350,20.75,24.25,350,11.20,22.15,16.65,"12,631","-1,243","1,153",
,14,-,-,-,-,-,35,"1,796.05","1,930.05",35,"54,700.00",105,23.75,24.80,35,11.75,23.75,16.26,"14,788",971,"2,980",
,68,-39,63,15.80,"1,835.60",-337.15,35,"1,699.60","1,787.50",70,"54,800.00",175,26.15,28.00,35,14.10,27.00,15.85,"21,747","-1,857","4,090",
,9,-3,5,16.14,"1,745.00",-505.60,420,"1,555.50","1,691.85",70,"54,900.00",70,28.80,32.00,35,16.35,30.95,15.45,"17,546",31,"1,573",
,"3,011",-232,"1,292",-,"1,587.40",-559.05,35,"1,573.25","1,589.85",35,"55,000.00",70,33.05,34.90,70,16.85,33.05,15.21,"1,59,781","-2,280","30,890",
,22,1,5,15.57,"1,555.25",-498.65,420,"1,376.75","1,520.70",35,"55,100.00",105,35.30,39.90,350,19.65,37.40,14.93,"21,475",-317,"1,823",
,69,1,14,14.75,"1,455.00",-281.55,420,"1,272.95","1,413.00",35,"55,200.00",840,39.15,44.05,105,24.15,44.05,14.43,"35,229",122,"4,487",
,137,16,23,-,"1,309.20",-644.95,35,"1,230.75","1,310.15",70,"55,300.00",350,45.40,50.00,35,26.05,49.00,14.31,"43,856",304,"3,602",
,82,-1,34,-,"1,210.00",-472.05,210,"1,190.15","1,283.45",70,"55,400.00",35,54.40,58.80,210,31.50,56.65,14.01,"53,688","2,900","5,707",
,"1,410",-300,"3,007",7.77,"1,115.85",-534.25,35,"1,105.05","1,121.65",35,"55,500.00",35,63.45,64.45,35,34.90,64.00,13.71,"1,32,736",133,"20,605",
,246,39,169,6.90,"1,014.95",-553.00,280,"1,007.70","1,034.60",140,"55,600.00",35,72.95,73.95,140,41.00,73.60,13.47,"50,368",-260,"3,083",
,141,24,196,8.38,928.50,-537.05,140,920.50,944.70,140,"55,700.00",35,84.40,85.60,105,48.75,85.60,13.23,"56,139","2,530","7,080",
,233,-106,831,8.99,843.90,-541.10,35,840.00,860.00,140,"55,800.00",35,99.25,100.65,140,58.15,100.30,13.05,"79,677",378,"5,603",
,260,27,635,9.70,767.80,-495.55,140,755.40,778.30,70,"55,900.00",35,116.60,118.95,140,68.55,117.00,12.88,"70,654",-291,"4,145",
,"11,500","1,314","30,969",9.93,691.00,-489.20,280,684.50,694.80,140,"56,000.00",35,137.60,139.85,140,81.30,138.00,12.71,"3,06,720","-2,556","35,940",
,809,193,"3,051",9.62,613.95,-475.25,280,605.20,620.20,35,"56,100.00",35,161.40,164.40,175,98.45,163.45,12.56,"75,174",864,"4,473",
,"1,553",408,"9,992",10.09,541.80,-452.20,140,533.85,545.30,140,"56,200.00",35,190.80,193.45,35,118.80,194.85,12.66,"1,16,437","3,889","9,802",
,"2,190",442,"20,234",9.99,475.00,-425.70,140,469.05,479.15,140,"56,300.00",35,222.15,226.20,140,136.35,225.20,12.43,"1,21,666",35,"9,107",
,"4,183","1,883","47,270",10.18,408.00,-406.90,35,407.40,414.90,35,"56,400.00",35,261.30,263.90,140,162.35,266.20,12.42,"1,57,075",-309,"7,499",
,"19,419","10,551","2,31,543",10.14,351.05,-387.45,35,350.00,351.05,210,"56,500.00",35,302.65,304.95,280,184.60,305.30,12.51,"4,28,676",101,"23,818",
,"10,610","8,197","1,62,264",10.26,298.70,-358.00,35,299.60,302.60,70,"56,600.00",35,350.35,354.35,245,212.25,354.30,12.47,"2,43,612","1,687","8,497",
,"14,570","9,260","1,78,904",10.35,255.20,-331.00,140,253.45,255.90,245,"56,700.00",140,402.25,410.70,350,241.15,407.70,12.47,"2,53,626","1,088","10,614",
,"18,743","10,625","1,81,532",10.42,214.50,-303.90,35,214.60,219.85,35,"56,800.00",35,462.05,469.45,280,270.50,465.75,12.48,"2,46,704",-660,"10,827",
,"15,731","8,418","1,65,881",10.56,182.50,-269.75,35,180.35,185.65,35,"56,900.00",140,526.25,538.00,35,306.75,536.90,12.92,"1,94,887","-3,025","6,229",
,"59,854","15,213","4,82,408",10.74,155.00,-236.10,140,152.75,154.55,35,"57,000.00",140,596.75,609.35,105,340.80,609.35,13.02,"3,94,872","-7,896","30,660",
,"21,667","4,981","2,05,068",10.83,127.80,-209.25,140,128.20,131.75,35,"57,100.00",140,670.95,688.15,140,358.05,670.55,13.11,"1,31,355","-5,130","7,201",
,"24,063","2,626","1,78,532",11.05,109.20,-176.60,140,108.40,110.80,35,"57,200.00",280,749.80,764.70,35,399.90,762.70,13.72,"79,114","-2,051","5,959",
,"14,949","2,784","1,25,496",11.25,91.90,-151.15,175,91.25,94.10,35,"57,300.00",140,832.30,854.60,140,424.10,841.80,14.13,"46,135","-1,281","3,516",
,"11,367","3,073","91,831",11.44,77.75,-124.95,140,77.20,78.20,35,"57,400.00",280,913.90,938.55,280,439.20,919.70,14.20,"23,958",-359,"2,007",
,"40,963","5,547","2,22,399",11.70,67.00,-102.55,140,65.50,66.15,595,"57,500.00",35,"1,008.00","1,020.00",70,463.60,"1,010.00",14.74,"39,193","-1,827","7,712",
,"8,207",595,"67,370",11.91,56.00,-82.50,"2,065",56.00,57.35,35,"57,600.00",140,"1,091.95","1,111.90",140,471.40,"1,091.35",14.77,"5,532",-469,"1,030",
,"8,705","2,214","69,709",12.11,48.00,-67.65,35,45.95,49.60,35,"57,700.00",70,"1,180.90","1,208.25",35,502.50,"1,194.20",15.84,"2,762",-126,840,
,"8,346",168,"73,648",12.31,41.00,-53.20,35,39.50,42.90,35,"57,800.00",35,"1,271.00","1,303.20",105,515.60,"1,291.30",16.60,"1,960",-109,532,
,"7,294",-95,"52,483",12.65,35.20,-42.10,35,33.35,38.00,35,"57,900.00",105,"1,332.95","1,403.35",35,521.05,"1,379.75",16.82,547,-75,541,
,"44,442","9,345","2,22,201",12.80,30.95,-32.65,175,28.60,30.95,455,"58,000.00",105,"1,462.35","1,485.95",70,527.25,"1,468.50",17.59,"6,944",-367,"5,190",
,"5,517",33,"48,982",13.10,28.00,-23.95,385,24.90,28.00,280,"58,100.00",35,"1,548.00","1,629.90",35,489.90,"1,523.95",14.48,40,8,274,
,"11,168","4,877","62,919",13.36,22.05,-19.35,175,21.95,23.95,560,"58,200.00",105,"1,530.20","1,692.60",70,534.65,"1,658.60",17.97,109,-11,298,
,"5,350","-8,900","82,518",13.62,19.10,-14.15,245,19.05,20.00,35,"58,300.00",70,"1,753.50","1,807.80",35,556.20,"1,755.90",18.57,959,-570,195,
,"7,231","3,212","34,718",13.96,17.25,-11.00,175,16.75,17.80,70,"58,400.00",35,"1,817.15","1,943.85",35,-,-,-,-,-,149,
,"23,996","4,471","1,27,531",14.25,15.20,-7.90,245,14.60,15.20,70,"58,500.00",70,"1,945.90","1,986.15",70,552.35,"1,955.50",20.10,283,-6,804,
,"3,359",-201,"26,717",14.56,13.75,-5.15,35,12.15,13.85,35,"58,600.00",35,"2,035.60","2,093.15",70,497.55,"1,970.90",-,7,1,109,
,"6,332",-25,"34,735",14.73,11.50,-4.30,560,11.10,12.70,420,"58,700.00",35,"2,102.75","2,242.70",35,-,-,-,-,-,100,
,"6,579","-1,608","43,832",15.03,10.30,-3.15,105,10.25,10.95,980,"58,800.00",70,"2,244.05","2,379.90",420,185.00,"1,910.00",-,6,-,69,
,"4,069",497,"18,865",15.56,10.15,-1.45,35,9.60,10.40,105,"58,900.00",70,"2,327.60","2,436.30",35,506.65,"2,311.65",18.68,2,-1,45,
,"41,676","4,382","1,21,833",15.71,8.85,-1.20,455,8.60,8.90,735,"59,000.00",210,"2,432.30","2,498.80",35,571.20,"2,446.85",23.12,470,31,812,
,"2,550",-665,"10,455",16.05,7.80,-1.10,175,7.85,9.00,35,"59,100.00",35,"2,456.45","2,632.30",35,-,-,-,-,-,3,
,"6,049","1,621","13,152",16.47,7.90,-0.30,350,7.15,7.90,35,"59,200.00",350,"2,548.75","2,777.30",595,454.40,"2,651.00",24.94,1,-,24,
,"3,722","1,699","9,607",16.75,6.80,-0.15,175,6.45,7.35,350,"59,300.00",70,"2,580.75","2,880.00",595,-,-,-,-,-,8,
,"2,984",994,"9,264",16.99,6.40,-0.15,595,5.70,6.50,595,"59,400.00",35,"2,746.00","2,976.20",595,-,-,-,-,-,17,
,"18,850","3,156","59,815",17.25,5.55,-0.50,210,5.55,6.00,70,"59,500.00",35,"2,847.70","2,988.20",35,573.85,"2,971.75",28.91,24,-9,144,
,"2,594",775,"6,482",17.69,5.20,-0.50,175,5.20,6.00,595,"59,600.00",595,"2,879.10","3,175.55",595,-,-,-,-,-,4,
,"3,977",72,"5,593",18.07,5.05,-,350,4.40,5.95,595,"59,700.00",595,"2,995.40","3,268.50",595,-,-,-,-,-,5,
,"2,458",-594,"7,773",18.61,5.20,0.25,35,4.90,5.50,35,"59,800.00",105,"3,073.90","3,375.25",595,587.50,"3,150.00",-,2,-1,9,
,"2,170",487,"7,583",18.81,4.50,-0.30,210,4.50,5.40,35,"59,900.00",595,"3,175.45","3,471.40",595,-,-,-,-,-,3,
,"44,645","-2,305","87,978",19.15,4.50,-0.05,105,4.30,4.80,595,"60,000.00",70,"3,420.65","3,469.75",70,573.05,"3,452.65",30.72,358,-236,"1,953",
,"1,828",69,"7,312",19.71,4.45,0.15,175,4.25,4.95,595,"60,100.00",595,"3,385.70","3,751.70",595,-,-,-,-,-,8,
,"1,464",663,"5,554",19.99,4.10,-0.25,175,4.10,5.05,350,"60,200.00",595,"3,472.65","3,867.15",595,-,-,-,-,-,4,
,844,-271,"4,266",20.61,3.50,-0.45,175,3.95,4.85,350,"60,300.00",595,"3,563.35","3,971.45","1,190",-,-,-,-,-,-,
,"1,622",312,"3,624",20.90,3.95,-,175,3.90,4.85,350,"60,400.00",595,"3,670.70","4,069.55",595,-,-,-,-,-,1,
,"10,109","-6,154","33,677",21.34,4.10,0.65,175,3.85,4.20,525,"60,500.00",595,"3,769.90","4,067.30",595,-,-,-,-,-,28,
,898,-18,"2,042",21.80,4.00,0.25,595,3.75,4.10,350,"60,600.00",595,"3,826.50","4,180.40",595,-,-,-,-,-,2,
,"1,593",-317,"1,898",22.23,3.95,0.50,140,3.95,4.10,945,"60,700.00",595,"3,921.55","4,306.30",595,-,-,-,-,-,-,
,870,-175,"1,479",22.62,3.85,0.35,"1,190",3.30,4.15,490,"60,800.00",595,"4,068.95","4,369.75",595,-,-,-,-,-,-,
,"1,282",-41,"1,973",22.86,3.55,0.15,"1,190",3.35,3.90,"1,190","60,900.00",595,"4,179.85","4,613.95",595,-,-,-,-,-,2,
,"17,514","3,900","39,951",23.43,3.60,0.45,35,3.50,3.75,175,"61,000.00",595,"4,280.10","4,542.80",35,550.80,"4,447.90",36.90,22,-9,788,
,727,-69,638,23.95,3.80,0.35,"1,190",2.95,4.00,350,"61,100.00",595,"4,318.70","4,723.20",595,-,-,-,-,-,-,
,931,-41,612,24.40,3.80,0.50,"1,190",2.60,4.40,"1,190","61,200.00",595,"4,454.40","4,780.00",595,-,-,-,-,-,-,
,994,-4,861,24.62,3.50,0.05,"1,190",3.00,4.10,"1,190","61,300.00",595,"4,545.00","4,870.40",595,-,-,-,-,-,-,
,771,-34,397,25.07,3.50,0.50,"1,995",2.65,4.45,595,"61,400.00",595,"4,624.50","5,027.70",595,-,-,-,-,-,-,
,"4,847",-479,"6,380",25.30,3.45,0.45,175,3.20,3.45,35,"61,500.00",595,"4,751.85","5,077.85",595,-,-,-,-,-,-,
,348,58,417,26.35,4.00,1.00,70,3.00,3.95,"1,190","61,600.00",595,"4,878.20","5,347.90",595,-,-,-,-,-,1,
,250,-68,192,25.90,2.95,-0.15,"1,190",2.65,3.70,140,"61,700.00",595,"4,934.60","5,276.15",595,-,-,-,-,-,-,
,626,-51,229,26.66,3.30,0.30,"1,190",2.60,4.00,"1,190","61,800.00",595,"5,039.15","5,385.35",595,-,-,-,-,-,-,
,188,8,136,27.31,3.55,0.55,"1,190",2.20,3.95,"1,190","61,900.00",595,"5,039.30","5,525.80",595,-,-,-,-,-,-,
,"12,369",720,"16,468",27.43,3.20,0.35,"2,065",3.20,3.25,350,"62,000.00",70,"5,426.70","5,573.60",595,550.95,"5,416.85",38.68,60,-55,703,
,349,44,249,27.57,3.45,0.70,455,2.90,3.45,175,"62,100.00",595,"5,234.85","5,746.25",595,-,-,-,-,-,-,
,158,-2,23,27.51,2.45,-0.40,"1,540",1.90,3.90,350,"62,200.00",595,"5,330.60","5,826.05",595,-,-,-,-,-,1,
,260,-16,87,29.35,3.90,1.05,455,2.90,3.85,350,"62,300.00",595,"5,427.25","5,923.35",595,-,-,-,-,-,-,
,293,14,665,29.70,3.80,1.35,"1,190",2.05,3.55,"1,190","62,400.00",595,"5,522.90","6,025.00",595,-,-,-,-,-,-,
,"3,123",382,"5,321",29.52,3.10,0.40,35,3.10,3.35,350,"62,500.00",595,"5,684.60","6,087.30",595,-,-,-,-,-,-,
,"9,794",-136,"7,851",31.35,2.65,0.20,35,2.55,2.80,175,"63,000.00",35,"6,337.25","6,548.40",35,486.00,"6,348.20",-,18,-8,332,
,"3,661",461,"4,090",32.98,2.55,0.35,315,2.20,2.40,"1,190","63,500.00",595,"6,735.80","7,099.35",595,-,-,-,-,-,-,
,"5,224",383,"5,300",34.32,2.15,0.35,175,2.00,2.20,"1,400","64,000.00",210,"7,287.40","7,574.70",595,531.20,"7,370.00",-,23,-20,301,
,"8,464",200,"8,631",36.35,2.15,0.50,"2,660",1.95,2.10,35,"64,500.00",595,"7,750.35","8,042.85",70,617.35,"7,957.35",59.64,9,-,129,
,"25,272","4,463","19,475",38.45,2.15,0.45,70,2.10,2.25,595,"65,000.00",595,"8,039.10","8,623.15",595,-,-,-,-,-,3,
